filter,filename,mean,std,median,resistant_mean,resistant_std,resistant_std_of_mean,sigma_clipped_mean,sigma_clipped_std,n_pixels,bg_fraction
VIS,galaxy_and_stream_convolved_8_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023223,0.001309,0.023183,0.023222,0.001306,0.000002,0.023207,0.001263,337953,0.938758
VIS,galaxy_and_stream_convolved_6_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023121,0.001266,0.023065,0.023120,0.001262,0.000002,0.023099,0.001210,337595,0.937764
VIS,galaxy_and_stream_convolved_8_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023303,0.001324,0.023262,0.023302,0.001322,0.000002,0.023288,0.001280,327559,0.909886
VIS,galaxy_and_stream_convolved_8_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023176,0.001298,0.023140,0.023175,0.001295,0.000002,0.023161,0.001252,346211,0.961697
VIS,galaxy_and_stream_convolved_9_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023180,0.001165,0.023136,0.023179,0.001162,0.000002,0.023166,0.001125,324014,0.900039
VIS,galaxy_and_stream_convolved_9_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023343,0.001191,0.023299,0.023342,0.001189,0.000002,0.023329,0.001154,315372,0.876033
VIS,galaxy_and_stream_convolved_3_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023414,0.001445,0.023363,0.023411,0.001433,0.000002,0.023392,0.001366,334038,0.927883
VIS,galaxy_and_stream_convolved_3_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023583,0.001488,0.023519,0.023581,0.001478,0.000003,0.023560,0.001412,283601,0.787781
VIS,galaxy_and_stream_convolved_10_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023111,0.001196,0.023071,0.023110,0.001193,0.000002,0.023095,0.001150,324140,0.900389
VIS,galaxy_and_stream_convolved_4_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022982,0.001666,0.022928,0.022976,0.001647,0.000003,0.022952,0.001551,340700,0.946389
VIS,galaxy_and_stream_convolved_4_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022995,0.001669,0.022941,0.022989,0.001649,0.000003,0.022966,0.001554,339067,0.941853
VIS,galaxy_and_stream_convolved_8_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023184,0.001300,0.023148,0.023183,0.001297,0.000002,0.023169,0.001254,344599,0.957219
VIS,galaxy_and_stream_convolved_3_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023423,0.001447,0.023372,0.023421,0.001436,0.000003,0.023402,0.001368,330006,0.916683
VIS,galaxy_and_stream_convolved_8_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023752,0.001389,0.023694,0.023751,0.001387,0.000003,0.023738,0.001351,283120,0.786444
VIS,galaxy_and_stream_convolved_6_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023444,0.001324,0.023380,0.023443,0.001322,0.000002,0.023426,0.001278,306147,0.850408
VIS,galaxy_and_stream_convolved_10_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023484,0.001254,0.023434,0.023483,0.001251,0.000002,0.023470,0.001216,297349,0.825969
VIS,galaxy_and_stream_convolved_1_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023703,0.001314,0.023660,0.023702,0.001309,0.000002,0.023685,0.001265,331462,0.920728
VIS,galaxy_and_stream_convolved_5_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023031,0.001542,0.022971,0.023029,0.001386,0.000002,0.023004,0.001322,331108,0.919744
VIS,galaxy_and_stream_convolved_9_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023043,0.001132,0.023005,0.023042,0.001128,0.000002,0.023029,0.001091,332546,0.923739
VIS,galaxy_and_stream_convolved_4_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023431,0.001755,0.023346,0.023426,0.001740,0.000003,0.023398,0.001650,306184,0.850511
VIS,galaxy_and_stream_convolved_3_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023375,0.001435,0.023325,0.023372,0.001423,0.000002,0.023353,0.001355,342688,0.951911
VIS,galaxy_and_stream_convolved_3_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023409,0.001443,0.023358,0.023407,0.001432,0.000002,0.023388,0.001365,336527,0.934797
VIS,galaxy_and_stream_convolved_2_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023858,0.001266,0.023810,0.023857,0.001261,0.000002,0.023839,0.001210,342637,0.951769
VIS,galaxy_and_stream_convolved_2_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023863,0.001267,0.023814,0.023862,0.001263,0.000002,0.023844,0.001212,342127,0.950353
VIS,galaxy_and_stream_convolved_3_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023369,0.001433,0.023319,0.023366,0.001421,0.000002,0.023347,0.001353,343473,0.954092
VIS,galaxy_and_stream_convolved_4_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023078,0.001690,0.023014,0.023072,0.001670,0.000003,0.023047,0.001575,331146,0.919850
VIS,galaxy_and_stream_convolved_7_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023908,0.001426,0.023869,0.023905,0.001418,0.000002,0.023891,0.001352,322905,0.896958
VIS,galaxy_and_stream_convolved_7_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024266,0.001529,0.024201,0.024264,0.001521,0.000003,0.024248,0.001456,302420,0.840056
VIS,galaxy_and_stream_convolved_5_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022976,0.001531,0.022920,0.022974,0.001376,0.000002,0.022949,0.001311,337873,0.938536
VIS,galaxy_and_stream_convolved_8_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023197,0.001303,0.023160,0.023196,0.001300,0.000002,0.023182,0.001257,342207,0.950575
VIS,galaxy_and_stream_convolved_1_0.05_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024282,0.001445,0.024200,0.024281,0.001442,0.000003,0.024261,0.001399,282595,0.784986
VIS,galaxy_and_stream_convolved_9_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023007,0.001123,0.022971,0.023006,0.001119,0.000002,0.022993,0.001082,336101,0.933614
VIS,galaxy_and_stream_convolved_1_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023798,0.001330,0.023750,0.023796,0.001326,0.000002,0.023779,0.001283,323137,0.897603
VIS,galaxy_and_stream_convolved_2_0.1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023982,0.001287,0.023927,0.023981,0.001283,0.000002,0.023963,0.001235,328721,0.913114
VIS,galaxy_and_stream_convolved_7_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024146,0.001499,0.024087,0.024144,0.001491,0.000003,0.024127,0.001423,309446,0.859572
VIS,galaxy_and_stream_convolved_7_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.024033,0.001464,0.023985,0.024030,0.001456,0.000003,0.024016,0.001389,314979,0.874942
VIS,galaxy_and_stream_convolved_3_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023384,0.001437,0.023333,0.023381,0.001425,0.000002,0.023362,0.001357,341471,0.948531
VIS,galaxy_and_stream_convolved_4_0.4_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023018,0.001674,0.022963,0.023012,0.001655,0.000003,0.022988,0.001559,336598,0.934994
VIS,galaxy_and_stream_convolved_10_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.022997,0.001174,0.022961,0.022996,0.001171,0.000002,0.022980,0.001125,337673,0.937981
