filter,n_images,mean_regular,std_regular,mean_resistant,std_resistant,std_of_mean_resistant,mean_sigma_clipped,std_sigma_clipped,median_resistant,range_resistant_min,range_resistant_max
VIS,8993,0.023393,0.000394,0.023388,0.000365,0.000004,0.023381,0.000382,0.023350,0.021104,0.027053
NISP_H,8752,64.125099,3.853139,64.352715,1.437200,0.015428,64.002701,3.878863,64.261169,0.030983,74.298759
NISP_J,8752,75.520447,4.467507,75.770653,1.546136,0.016589,75.396263,4.504898,75.667747,0.025176,88.989502
NISP_Y,8752,57.394524,3.455992,57.579178,1.257319,0.013496,57.289379,3.474938,57.499657,0.020358,67.125816
