filter,n_images,mean_regular,std_regular,mean_resistant,std_resistant,std_of_mean_resistant,mean_sigma_clipped,std_sigma_clipped,median_resistant,range_resistant_min,range_resistant_max
VIS,27,0.023444,0.000408,0.023440,0.000404,0.000079,0.023425,0.000406,0.023415,0.022816,0.024255
NISP_H,27,65.052277,1.377334,65.023041,1.371659,0.269005,64.914078,1.362766,64.478607,63.143921,67.707397
NISP_J,27,75.646736,1.342803,75.620575,1.339476,0.262693,75.499725,1.321725,76.022926,73.638374,77.752022
NISP_Y,27,57.234505,1.060816,57.211735,1.057572,0.207407,57.109150,1.039817,57.350769,55.698410,59.184444
